Wall time,Step,Value
1741002863.0135562,0,0.051165416836738586
1741002864.551165,1,0.02912067621946335
1741002864.675645,2,0.018802518025040627
1741002864.8304365,3,0.012474589981138706
1741002865.0027084,4,0.00934675708413124
1741002865.1741955,5,0.007129812613129616
1741002865.2978308,6,0.0051302798092365265
1741002865.4562993,7,0.005449851509183645
1741002865.547095,8,0.0036883174907416105
1741002865.6128094,9,0.004014477599412203
1741002865.676616,10,0.0023891525343060493
1741002866.7679067,11,0.002394936280325055
1741002866.9132204,12,0.002236374653875828
1741002867.030927,13,0.002109403256326914
1741002867.0914724,14,0.004098672419786453
1741002867.236327,15,0.0021071042865514755
1741002867.423414,16,0.002412348985671997
1741002867.6120327,17,0.0018533057300373912
1741002867.776293,18,0.0026897171046584845
1741002867.9214485,19,0.0018352054757997394
1741002868.0844927,20,0.0008531135390512645
1741002869.2416017,21,0.0010757546406239271
1741002869.4078922,22,0.0007811625837348402
1741002869.5813632,23,0.0012431115610525012
1741002869.7406313,24,0.0009896052069962025
1741002869.9239206,25,0.0014928821474313736
1741002870.1031818,26,0.00402763532474637
1741002870.2865338,27,0.0036890909541398287
1741002870.4185648,28,0.0055757369846105576
1741002870.479904,29,0.003196005942299962
1741002870.5387564,30,0.0020643400494009256
1741002871.393721,31,0.0026769351679831743
1741002871.5621,32,0.0018321889219805598
1741002871.7281697,33,0.0014773908769711852
1741002871.9123554,34,0.0019886246882379055
1741002872.082484,35,0.0019260222325101495
1741002872.2596114,36,0.0013339504366740584
1741002872.4415271,37,0.00415481673553586
1741002872.6209784,38,0.0010582258692011237
1741002872.7889395,39,0.0008346668328158557
1741002872.9691527,40,0.0011516724480316043
1741002873.8223228,41,0.0014678876614198089
1741002873.9395275,42,0.0018749129958450794
1741002874.0174665,43,0.00129682756960392
1741002874.0841475,44,0.0009080257150344551
1741002874.176181,45,0.00047045527026057243
1741002874.268013,46,0.0002609720977488905
1741002874.3322039,47,0.0004892363213002682
1741002874.389865,48,0.0002174747351091355
1741002874.448385,49,0.0009966387879103422
1741002874.5055141,50,0.0004459657066036016
1741002875.440422,51,0.0002773288870230317
1741002875.5002816,52,0.00015000131679698825
1741002875.5584197,53,0.00012218256597407162
1741002875.6234431,54,0.0005444571725092828
1741002875.7030065,55,0.00029762275516986847
1741002875.7605205,56,0.00017441135423723608
1741002875.821565,57,6.347082671709359e-05
1741002875.9380634,58,4.4275631807977334e-05
1741002876.0920208,59,0.0001099065993912518
1741002876.2586272,60,0.00015096282004378736
1741002877.2033072,61,0.00017977076640818268
1741002877.3525221,62,0.00011534636723808944
1741002877.4694574,63,6.74744660500437e-05
1741002877.5703409,64,7.657973765162751e-05
1741002877.633908,65,0.00014533447392750531
1741002877.6970544,66,0.0002753787557594478
1741002877.7600296,67,0.00010705640306696296
1741002877.8326123,68,7.831496623111889e-05
