Wall time,Step,Value
1741002647.2838206,0,0.053500037640333176
1741002648.5546277,1,0.030823638662695885
1741002648.609025,2,0.022096389904618263
1741002648.6630473,3,0.01627080887556076
1741002648.7195432,4,0.010700969025492668
1741002648.773777,5,0.007184249814599752
1741002648.8278236,6,0.0061765071004629135
1741002648.8857257,7,0.00487409345805645
1741002648.9416027,8,0.004683925770223141
1741002648.9954314,9,0.003962838556617498
1741002649.0509837,10,0.0033437777310609818
1741002650.0423555,11,0.002708813175559044
1741002650.1000526,12,0.0033270756248384714
1741002650.1550655,13,0.0027285770047456026
1741002650.2100565,14,0.0030072862282395363
1741002650.2683733,15,0.0022480289917439222
1741002650.326604,16,0.003076266497373581
1741002650.3929477,17,0.001896281843073666
1741002650.4609747,18,0.0024628331884741783
1741002650.5248656,19,0.0038186947349458933
1741002650.583846,20,0.0036036570090800524
1741002651.2508113,21,0.0025970598217099905
1741002651.3094418,22,0.0021504200994968414
1741002651.3703098,23,0.0056368806399405
1741002651.4289012,24,0.0045164804905653
1741002651.4881554,25,0.0024853248614817858
1741002651.5480003,26,0.001847808132879436
1741002651.6061924,27,0.001633090665563941
1741002651.6639578,28,0.0009493614197708666
1741002651.7217283,29,0.0013375473208725452
1741002651.7796972,30,0.0013629680033773184
1741002652.623449,31,0.001411507953889668
1741002652.8121521,32,0.0012252562446519732
1741002652.9901304,33,0.0011943591525778174
1741002653.1467805,34,0.0017157108522951603
1741002653.2161832,35,0.0018629167461767793
1741002653.2770705,36,0.0013498688349500299
1741002653.3370092,37,0.0004975381889380515
1741002653.3952718,38,0.0011788211995735765
1741002653.4554327,39,0.0012715732445940375
1741002653.5125947,40,0.000545203045476228
1741002654.5298684,41,0.0009344991412945092
1741002654.6976562,42,0.001112216035835445
1741002654.880385,43,0.0020898287184536457
1741002655.0780811,44,0.0019357254495844245
1741002655.2362065,45,0.002555073471739888
1741002655.4085414,46,0.0015128455124795437
1741002655.5882711,47,0.000856241153087467
1741002655.7722073,48,0.000542177411261946
1741002655.9540975,49,0.0008569813799113035
1741002656.1230469,50,0.00033369543962180614
1741002657.4193418,51,0.00032096460927277803
1741002657.6026015,52,0.0005072902422398329
1741002657.77718,53,0.00011148082558065653
1741002657.9548283,54,0.0003703989495988935
1741002658.0749164,55,0.000150417021359317
1741002658.150815,56,0.0005908189923502505
1741002658.2087915,57,0.0002981942961923778
1741002658.2673595,58,0.0014966381713747978
1741002658.3242724,59,0.001218639314174652
1741002658.38239,60,0.000794088642578572
1741002659.4617758,61,0.00013230022159405053
1741002659.638385,62,0.0005613856483250856
1741002659.8216772,63,0.000459205184597522
1741002659.9976969,64,0.0002307985268998891
1741002660.1670556,65,0.00010067319090012461
1741002660.3322465,66,0.00028058254974894226
1741002660.5030408,67,0.0002878083323594183
1741002660.6742952,68,0.00011481113324407488
1741002660.8414495,69,0.00032510815071873367
1741002661.0229027,70,0.00044651475036516786
1741002662.1632016,71,0.00011348391126375645
