Wall time,Step,Value
1741003059.910494,0,0.03428289294242859
1741003060.6352165,1,0.009990036487579346
1741003060.6801016,2,0.00683150440454483
1741003060.726917,3,0.004871765151619911
1741003060.7648678,4,0.003704013302922249
1741003060.799591,5,0.002786240540444851
1741003060.8311665,6,0.002642077160999179
1741003060.8661175,7,0.002860782667994499
1741003060.918209,8,0.002454408211633563
1741003060.9717538,9,0.002507295925170183
1741003061.431513,10,0.0019189523300155997
1741003061.4751508,11,0.0014623734168708324
1741003061.5172048,12,0.001854546251706779
1741003061.5596588,13,0.0020810661371797323
1741003061.6015933,14,0.001230223453603685
1741003061.6431475,15,0.0013084011152386665
1741003061.6892073,16,0.0015986771322786808
1741003061.7262027,17,0.002789862686768174
1741003061.7598917,18,0.0008341599022969604
1741003062.2640328,19,0.0009981722105294466
1741003062.309521,20,0.0009364328579977155
1741003062.3470967,21,0.0008101054118014872
1741003062.3821468,22,0.0010168845765292645
1741003062.4154809,23,0.0012941851746290922
1741003062.4442961,24,0.0007175275241024792
1741003062.4864929,25,0.0006786477169953287
1741003062.5329669,26,0.001042885472998023
1741003062.5816784,27,0.0008391166338697076
1741003063.057735,28,0.000597344886045903
1741003063.0952437,29,0.00031377680716104805
1741003063.1283772,30,0.0005997127736918628
1741003063.160875,31,0.0012055827537551522
1741003063.1931543,32,0.000573577533941716
1741003063.2241817,33,0.00021990438108332455
1741003063.255751,34,0.00025937968166545033
1741003063.3032668,35,0.00011240696767345071
1741003063.3517163,36,5.826260894536972e-05
1741003063.8083107,37,0.0003564929938875139
1741003063.8494368,38,3.475184348644689e-05
1741003063.898819,39,0.0005335811874829233
1741003063.9417915,40,0.0008597124251537025
1741003063.982004,41,0.00011263580381637439
1741003064.0174909,42,0.0005809751455672085
1741003064.0474029,43,2.4635373847559094e-05
1741003064.0863066,44,0.00011102083226433024
1741003064.1190546,45,3.229875801480375e-05
1741003064.5190256,46,3.095231659244746e-05
1741003064.5482483,47,4.700242425315082e-05
1741003064.5789108,48,1.6055450032581575e-05
1741003064.6099896,49,3.178616680088453e-05
1741003064.633291,50,1.3621727703139186e-05
1741003064.6534464,51,1.670043457124848e-05
1741003064.6726112,52,2.3413253074977547e-05
1741003064.6916368,53,2.165606929338537e-05
1741003064.7106287,54,1.8693266611080617e-05
1741003065.2737117,55,1.4232194189389702e-05
1741003065.308978,56,1.1455286767159123e-05
1741003065.342381,57,2.8329499400570057e-05
1741003065.3926256,58,4.0125240047927946e-05
1741003065.4447937,59,4.661003913497552e-05
1741003065.4839783,60,1.1206268936803099e-05
1741003065.5174086,61,7.387416644633049e-06
1741003065.5499163,62,1.2772899026458617e-05
1741003065.5794845,63,1.0055239727080334e-05
1741003066.0295742,64,1.8580960386316292e-05
1741003066.0584505,65,6.553995262947865e-06
1741003066.0898457,66,1.317005717282882e-05
1741003066.1226716,67,5.702046109945513e-06
1741003066.1565623,68,5.781237632618286e-06
1741003066.1875536,69,8.455444913124666e-06
1741003066.2195287,70,0.0004695641982834786
1741003066.2518582,71,0.00021054402168374509
1741003066.2824678,72,1.569756568642333e-05
1741003066.7280695,73,2.1121089957887307e-05
1741003066.747059,74,8.654768316773698e-05
1741003066.7656236,75,2.7785150450654328e-05
1741003066.8028426,76,8.41239670990035e-06
1741003066.8299558,77,3.486706191324629e-05
1741003066.8583586,78,1.3322838640306145e-05
1741003066.888729,79,1.575889291416388e-05
1741003066.9204762,80,1.323552987742005e-05
1741003066.9523165,81,5.700893325411016e-06
1741003067.4477758,82,7.677363100810908e-06
1741003067.4848342,83,6.5152053139172494e-06
1741003067.5296252,84,9.440524081583135e-06
1741003067.5804672,85,1.0922691217274405e-05
1741003067.627896,86,5.4847128012625035e-06
1741003067.6803834,87,3.4285283163626445e-06
1741003067.737052,88,8.921899279812351e-06
1741003067.7803278,89,5.671940925822128e-06
1741003067.828959,90,6.218001544766594e-06
1741003068.234066,91,3.631708068496664e-06
1741003068.254359,92,4.776209607371129e-06
1741003068.2731087,93,6.96472352501587e-06
1741003068.291402,94,3.229808498872444e-06
1741003068.335603,95,4.260974037606502e-06
1741003068.3716002,96,3.461531741777435e-05
1741003068.3929634,97,1.4525194274028763e-05
1741003068.4126525,98,4.075423021276947e-06
1741003068.4314551,99,6.002977443131385e-06
1741003068.8822615,100,3.1740682970848866e-06
1741003068.9150705,101,5.425553808890982e-06
1741003068.9471235,102,4.397426891955547e-06
1741003068.9792423,103,1.2966146641701926e-05
1741003069.0188048,104,6.152995410957374e-06
1741003069.0471306,105,4.004789843747858e-06
1741003069.0954401,106,6.1867167460150085e-06
1741003069.1460693,107,4.032554443256231e-06
1741003069.199465,108,5.829288966197055e-06
1741003069.7621503,109,9.703539944894146e-06
1741003069.7944021,110,3.1631764159101294e-06
1741003069.8267903,111,4.5572292037832085e-06
1741003069.8607697,112,7.01752560416935e-06
1741003069.8925283,113,1.931272436195286e-06
1741003069.9263153,114,4.743268618767615e-06
1741003069.9604545,115,1.8564935544418404e-06
1741003069.9936512,116,6.668064543191576e-06
1741003070.0264685,117,3.3905166674230713e-06
1741003070.4125383,118,2.353025820411858e-06
1741003070.441182,119,1.2631443269128795e-06
1741003070.473405,120,2.849864813470049e-06
1741003070.5064895,121,2.6605609946273034e-06
1741003070.541838,122,1.939058620337164e-06
1741003070.5714893,123,2.702901383599965e-06
1741003070.5948062,124,7.75650823925389e-06
1741003070.6225643,125,2.9474031180143356e-06
1741003070.6525648,126,2.0254772152838996e-06
1741003071.0259507,127,8.903845809982158e-06
1741003071.047573,128,9.456312909605913e-06
1741003071.0659134,129,1.2815434274671134e-05
1741003071.084016,130,1.795915636648715e-06
1741003071.1022832,131,4.766857273352798e-06
1741003071.1202533,132,2.2945066575630335e-06
1741003071.1381116,133,6.466360900958534e-06
1741003071.1561544,134,8.746674211579375e-06
1741003071.1739593,135,3.1068666430655867e-06
1741003071.6094983,136,4.366353095974773e-06
1741003071.6397145,137,3.0380201678781305e-06
1741003071.670502,138,2.4177913928724593e-06
1741003071.702496,139,3.955452484660782e-06
1741003071.7341976,140,6.715834842907498e-06
1741003071.7668543,141,4.263954451744212e-06
1741003071.7982135,142,2.517520215405966e-06
1741003071.8468015,143,2.3099482859834097e-06
1741003071.889189,144,3.733918219950283e-06
1741003072.3907921,145,4.399910267238738e-06
1741003072.426523,146,2.2138954136607936e-06
1741003072.4747543,147,2.0458930976019474e-06
1741003072.5270529,148,3.393899078218965e-06
1741003072.568931,149,1.5974175084920716e-06
1741003072.6041727,150,3.1696897622168763e-06
1741003072.6364295,151,2.9248335522424895e-06
1741003072.6680055,152,1.5082237041497137e-06
1741003072.6998734,153,2.526568323446554e-06
1741003073.1379554,154,2.0216816665197257e-06
1741003073.1705968,155,3.750760697585065e-06
1741003073.2063792,156,1.1842247658933047e-05
1741003073.250804,157,3.8121397665236145e-06
1741003073.287728,158,2.5668844045867445e-06
1741003073.3204956,159,2.2998217446001945e-06
1741003073.3522182,160,5.567978860199219e-06
1741003073.3908653,161,6.353496701194672e-06
1741003073.4339514,162,2.715951495702029e-06
1741003073.9055226,163,1.9733292901946697e-06
1741003073.955337,164,2.3344721284956904e-06
1741003074.0054207,165,9.126519216806628e-06
1741003074.057812,166,2.5713059130794136e-06
