Wall time,Step,Value
1741003027.4831953,140,6.690931058983551e-06
1741003027.5151575,141,3.953027771785855e-06
1741003027.5477679,142,7.589201231894549e-06
1741003027.579552,143,3.1339641282102093e-06
1741003027.6112392,144,3.4919928566523595e-06
1741003028.0968244,145,5.962449904473033e-06
1741003028.1445436,146,7.992918654053938e-06
1741003028.1897812,147,2.772509105852805e-06
1741003028.2352705,148,2.10765324482054e-06
1741003028.288678,149,3.1136883080762345e-06
1741003028.3424983,150,3.82770667783916e-06
1741003028.392109,151,5.619721378025133e-06
1741003028.4391952,152,8.011773388716392e-06
1741003028.499065,153,3.127925538137788e-06
1741003028.9295828,154,1.565753109389334e-06
1741003028.97386,155,4.21815366280498e-06
1741003028.9991076,156,3.876817117998144e-06
1741003029.0186253,157,3.817852757492801e-06
1741003029.0379403,158,2.5265314889111323e-06
1741003029.0564303,159,2.776036808427307e-06
1741003029.074067,160,2.831500978572876e-06
1741003029.0920184,161,2.613377546367701e-06
1741003029.109674,162,4.05180117013515e-06
1741003029.4972165,163,4.011011242255336e-06
1741003029.517124,164,2.4607063551229658e-06
1741003029.5356407,165,2.7287712782708695e-06
1741003029.5536282,166,2.6990044261765433e-06
1741003029.5715637,167,2.32649745157687e-06
1741003029.589552,168,1.2065657756465953e-05
1741003029.6076295,169,6.450127330026589e-06
1741003029.6263864,170,3.852443569485331e-06
1741003029.6453307,171,3.694379074659082e-06
1741003030.26731,172,2.0958584627805976e-06
1741003030.320213,173,2.3086897272150964e-05
1741003030.362318,174,4.135304152441677e-06
1741003030.4144194,175,2.249046701763291e-06
1741003030.4695375,176,2.617379777802853e-06
1741003030.5299284,177,2.922259682236472e-06
1741003030.584714,178,7.5496304816624615e-06
1741003030.6413195,179,1.8880502921092557e-06
1741003030.6953642,180,2.726207185332896e-06
1741003031.1739736,181,4.155092483415501e-06
1741003031.225181,182,8.092249117908068e-06
1741003031.2736723,183,2.6327809337090002e-06
1741003031.322718,184,3.2797402127471287e-06
1741003031.3495793,185,4.706211711891228e-06
1741003031.3756151,186,2.0578631847456563e-06
1741003031.40144,187,7.304255177587038e-06
1741003031.4356377,188,2.5378419650223805e-06
1741003031.4752889,189,1.2437290024536196e-05
1741003031.8985636,190,2.7618693820841145e-06
1741003031.9430778,191,2.757000856945524e-06
1741003031.9736192,192,4.917824753647437e-06
1741003031.9935927,193,3.1900062822387554e-06
1741003032.0127654,194,2.5190918222506298e-06
1741003032.0316355,195,1.9321023501106538e-06
1741003032.0497835,196,1.5744300299047609e-06
1741003032.0677094,197,3.1568379199597985e-06
1741003032.0856776,198,4.266057203494711e-06
1741003032.51669,199,6.5741355683712754e-06
1741003032.560943,200,2.3410739231621847e-06
1741003032.5957565,201,2.1538019154832e-06
1741003032.6280186,202,2.8343338271952234e-06
1741003032.6582377,203,2.70416853709321e-06
1741003032.6880732,204,5.4978099797153845e-06
1741003032.7182558,205,1.5938506976453937e-06
1741003032.748493,206,2.035960960711236e-06
1741003032.7796955,207,1.6355652405763976e-06
1741003033.23317,208,3.6253400139685255e-06
1741003033.274209,209,4.449615971680032e-06
1741003033.3116884,210,2.241008132841671e-06
1741003033.3330636,211,4.619780611392343e-06
1741003033.352377,212,1.474451664762455e-06
1741003033.3712294,213,1.6003965583877289e-06
1741003033.3895898,214,3.0570347462344216e-06
1741003033.4076784,215,2.286906010340317e-06
1741003033.4253576,216,1.5620651083736448e-06
1741003033.8296223,217,2.242468099211692e-06
1741003033.849154,218,1.7186238210342708e-06
1741003033.8875859,219,5.8419873312232085e-06
1741003033.9248626,220,5.362688170862384e-06
1741003033.9530406,221,3.8018881696189055e-06
1741003033.973136,222,3.4433892324159387e-06
1741003033.9923923,223,2.503501036699163e-06
1741003034.0116549,224,4.129775334149599e-06
1741003034.0301154,225,2.622470219648676e-06
1741003034.5366378,226,1.7620371863813489e-06
1741003034.5611463,227,3.7472884741873713e-06
1741003034.58655,228,2.84751854451315e-06
1741003034.6117697,229,2.018568466155557e-06
1741003034.6368134,230,3.256496256653918e-06
1741003034.6618743,231,2.1624280179821653e-06
1741003034.6875343,232,7.408637884509517e-06
1741003034.7134218,233,2.43533099819615e-06
1741003034.7384365,234,1.797112986423599e-06
1741003035.1581697,235,6.778878287150292e-06
1741003035.1765037,236,2.5372069103468675e-06
1741003035.2141335,237,6.750026386725949e-06
1741003035.245204,238,6.742837740603136e-06
1741003035.275581,239,3.867298801196739e-06
1741003035.309382,240,1.6101419078040635e-06
1741003035.3298016,241,3.570710532585508e-06
1741003035.3489847,242,2.084839707094943e-06
1741003035.367759,243,2.577264012870728e-06
1741003035.8147774,244,3.3358580822095973e-06
1741003035.8506272,245,1.0053819096356165e-05
1741003035.8835254,246,2.6395730401418405e-06
1741003035.9151614,247,2.402364543740987e-06
1741003035.9453247,248,2.7728437999030575e-06
1741003035.9755218,249,2.527904143789783e-06
1741003036.0065203,250,3.2353823371522594e-06
1741003036.0372365,251,2.745236542978091e-06
1741003036.0685325,252,2.997841420437908e-06
1741003036.4631543,253,3.351764689796255e-06
1741003036.4815536,254,4.449058906175196e-06
1741003036.4996278,255,2.4173609745048452e-06
1741003036.5177815,256,1.254238304682076e-05
1741003036.5359905,257,2.15334284803248e-06
1741003036.5545437,258,2.0623026557586854e-06
1741003036.5728726,259,3.1194388157018693e-06
1741003036.5914195,260,1.4462599438047619e-06
1741003036.6103003,261,1.3885598946217215e-06
