Wall time,Step,Value
1738174012.1988728,0,1.5609761476516724
1738174018.407668,1,0.8890102505683899
1738174024.038885,2,0.4097125232219696
1738174029.7533572,3,0.09278003871440887
1738174035.1039457,4,0.03575710952281952
1738174040.5123355,5,0.021814463660120964
1738174046.255403,6,0.012422097846865654
1738174052.0875144,7,0.009816770441830158
1738174057.8903072,8,0.011130351573228836
1738174063.5798783,9,0.009562794119119644
1738174069.261803,10,0.006552975624799728
1738174074.7028449,11,0.003816568525508046
1738174080.478075,12,0.004017767962068319
1738174086.0882926,13,0.005023119039833546
1738174091.849445,14,0.0030140106100589037
1738174097.653675,15,0.0037968396209180355
1738174103.279617,16,0.002308344468474388
1738174108.9618497,17,0.002228308469057083
1738174114.470964,18,0.0028846312779933214
1738174120.1139314,19,0.002170845167711377
1738174125.4194014,20,0.0026283252518624067
1738174130.8209722,21,0.0021724204998463392
1738174136.4982708,22,0.0031999717466533184
1738174141.9260423,23,0.002922276733443141
1738174147.707339,24,0.0031367724295705557
1738174153.4533737,25,0.0028347577899694443
1738174159.0062788,26,0.0028555975295603275
1738174164.5634272,27,0.0007695667445659637
1738174170.224337,28,0.00296960910782218
1738174175.8718796,29,0.004625027999281883
